road_id,name,source,source_id,destination,destination_id,distance_km,rainfall_mm,temp_c,humidity_pct,road_condition,terrain,elevation_m,historical_incidents,flood_history,landslide_history,traffic_density,infrastructure_rating,lat1,lon1,lat2,lon2,road_status,risk_level,speed_limit_kmh
RD_14,NH-13 Bhalukpong-Tawang Alpine Pass,Itanagar,LOC_ITA,Tawang,LOC_TAW,290,225,11.0,90,Severe,Mountainous,2600,24,0,1,Low,4.0,27.0844,93.6053,27.5860,91.8656,BLOCKED,CRITICAL,25
RD_15,NH-52 Dibrugarh-Pasighat Bogibeel Route,Dibrugarh,LOC_DIB,Pasighat,LOC_PAS,150,130,24.0,86,Good,Plain,130,5,1,0,Low,8.2,27.4728,94.9120,28.0667,95.3333,ACCESSIBLE,LOW,60
RD_16,NH-102 Imphal-Churachandpur Valley Road,Imphal,LOC_IMP,Churachandpur,LOC_CHU,62,105,21.8,84,Fair,Hilly,850,5,0,0,Medium,6.8,24.8170,93.9368,24.3333,93.6833,ACCESSIBLE,LOW,45
RD_17,NH-54 Aizawl-Lunglei South Ridge,Aizawl,LOC_AIZ,Lunglei,LOC_LUN,170,175,20.0,89,Poor,Mountainous,1080,12,0,1,Low,5.5,23.7271,92.7176,22.8800,92.7300,RESTRICTED,MODERATE,35
RD_18,NH-08 Agartala-Udaipur Southern Highway,Agartala,LOC_AGA,Udaipur,LOC_UDA,52,70,27.0,76,Good,Plain,20,1,0,0,High,8.8,23.8315,91.2868,23.5333,91.4833,ACCESSIBLE,LOW,70
RD_19,NH-310 Gangtok-Mangan North Ridge,Gangtok,LOC_GKT,Mangan,LOC_MNG,68,230,14.5,96,Severe,Mountainous,1550,21,1,1,Low,4.1,27.3389,88.6065,27.5000,88.5333,BLOCKED,CRITICAL,25
RD_20,NH-37A Guwahati-Dimapur Bypass Route,Guwahati,LOC_GHY,Dimapur,LOC_DMP,260,80,26.5,75,Good,Plain,110,4,0,0,High,8.1,26.1445,91.7362,25.9060,93.7270,ACCESSIBLE,LOW,70
RD_21,NH-37 Guwahati-Nagaon-Jorhat Highway,Guwahati,LOC_GHY,Jorhat,LOC_JOR,305,82,26.8,78,Good,Plain,95,5,1,0,High,8.0,26.1445,91.7362,26.7509,94.2037,ACCESSIBLE,LOW,70
RD_22,NH-53 Silchar-Imphal Western Alternative,Silchar,LOC_SIL,Imphal,LOC_IMP,210,180,21.5,88,Poor,Mountainous,820,15,0,1,Medium,5.4,24.8333,92.7789,24.8170,93.9368,RESTRICTED,MODERATE,35
RD_23,NH-44A Aizawl-Agartala Interstate Shortcut,Aizawl,LOC_AIZ,Agartala,LOC_AGA,230,135,23.5,82,Fair,Hilly,620,8,0,0,Low,6.5,23.7271,92.7176,23.8315,91.2868,RESTRICTED,MODERATE,40
RD_24,NH-717A Siliguri-Gangtok Monsoon Bypass (Lava-Reshi),Siliguri (Gateway Hub),LOC_SLG,Gangtok,LOC_GKT,138,140,16.0,86,Fair,Hilly,1250,7,0,1,Medium,6.8,26.7271,88.3953,27.3389,88.6065,RESTRICTED,MODERATE,40
